Elements,Atomic Number,Electronegativity,Atomic Radius,Thermal Conductivity,Density,Crystal System
H,1,2.2,0.25,0.1805,0.09,HEX
He,2,0,1.2,0.1513,0.18,HCP
Li,3,0.98,1.45,85,530,BCC
Be,4,1.57,1.05,190,1850,HCP
B,5,2.04,0.85,27,2340,RHO
C,6,2.55,0.7,140,2260,HEX
N,7,3.04,0.65,0.02583,1.25,HEX
O,8,3.44,0.6,0.02658,1.43,SC
F,9,3.98,0.5,0.0277,1.7,SC
Ne,10,0,1.6,0.0491,0.9,FCC
Na,11,0.93,1.8,140,970,BCC
Mg,12,1.31,1.5,160,1740,HCP
Al,13,1.61,1.25,235,2700,FCC
Si,14,1.9,1.1,150,2330,DC
P,15,2.19,1,0.236,1820,ORTH
S,16,2.58,1,0.205,2070,ORTH
Cl,17,3.16,1,0.0089,3.21,ORTH
Ar,18,0,0.71,0.01772,1.78,FCC
K,19,0.82,2.2,100,860,BCC
Ca,20,1,1.8,200,1550,FCC
Sc,21,1.36,1.6,16,2990,HCP
Ti,22,1.54,1.4,22,4540,HCP
V,23,1.63,1.35,31,6110,BCC
Cr,24,1.66,1.4,94,7190,BCC
Mn,25,1.55,1.4,7.8,7430,BCC
Fe,26,1.83,1.4,80,7870,BCC
Co,27,1.88,1.35,100,8900,HCP
Ni,28,1.91,1.35,91,8900,FCC
Cu,29,1.9,1.35,400,8960,FCC
Zn,30,1.65,1.35,120,7130,HCP
Ga,31,1.81,1.3,29,5910,ORTH
Ge,32,2.01,1.25,60,5320,DC
As,33,2.18,1.15,50,5720,RHO
Se,34,2.55,1.15,0.52,4790,HEX
Br,35,2.96,1.15,0.12,3120,ORTH
Kr,36,3,0.88,0.00943,3.75,FCC
Rb,37,0.82,2.35,58,1630,BCC
Sr,38,0.95,2,35,2540,FCC
Y,39,1.22,1.8,17,4470,HCP
Zr,40,1.33,1.55,23,6510,HCP
Nb,41,1.6,1.45,54,8570,BCC
Mo,42,2.16,1.45,139,10220,BCC
Tc,43,1.9,1.35,51,11500,HCP
Ru,44,2.2,1.3,120,12370,HCP
Rh,45,2.28,1.35,150,12410,FCC
Pd,46,2.2,1.4,72,12020,FCC
Ag,47,1.93,1.6,430,10500,FCC
Cd,48,1.69,1.55,97,8650,HCP
In,49,1.78,1.55,82,7310,TETR
Sn,50,1.96,1.45,67,7310,TETR
Sb,51,2.05,1.45,24,6680,RHO
Te,52,2.1,1.4,3,6240,HEX
I,53,2.66,1.4,0.449,4930,ORTH
Xe,54,2.6,1.08,0.00565,5.9,FCC
Cs,55,0.79,2.6,36,1870,BCC
Ba,56,0.89,2.15,18,3590,BCC
La,57,1.1,1.95,13,6150,HCP
Ce,58,1.12,1.85,11,6770,HCP
Pr,59,1.13,1.85,13,6770,HCP
Nd,60,1.14,1.85,17,7010,HCP
Pm,61,1.13,1.85,15,7300,HCP
Sm,62,1.17,1.85,13,7520,RHO
Eu,63,1.2,1.85,14,5240,BCC
Gd,64,1.2,1.8,11,7900,HCP
Tb,65,1.22,1.75,11,8230,HCP
Dy,66,1.23,1.75,11,8550,HCP
Ho,67,1.24,1.75,16,8800,HCP
Er,68,1.24,1.75,15,9070,HCP
Tm,69,1.25,1.75,17,9320,HCP
Yb,70,1.1,1.75,39,6900,FCC
Lu,71,1.27,1.75,16,9840,HCP
Hf,72,1.3,1.55,23,13310,HCP
Ta,73,1.5,1.45,57,16650,BCC
W,74,2.36,1.35,170,19350,BCC
Re,75,1.9,1.35,48,21040,HCP
Os,76,2.2,1.3,88,22600,HCP
Ir,77,2.2,1.35,150,22400,FCC
Pt,78,2.28,1.35,72,21450,FCC
Au,79,2.54,1.35,320,19320,FCC
Hg,80,2,1.5,8.3,13550,RHO
Tl,81,1.62,1.9,46,11850,HCP
Pb,82,2.33,1.8,35,11350,FCC
Bi,83,2.02,1.6,8,9750,RHO
Po,84,2,1.9,20,9300,SC
At,85,2.2,1.27,2,6350,FCC
Rn,86,0,1.2,0.00361,9.73,FCC
Ra,88,0.89,2.15,19,5500,BCC
Ac,89,1.1,1.95,12,10070,FCC
Th,90,1.3,1.8,54,11720,FCC
Pa,91,1.5,1.8,47,15400,TETR
U,92,1.38,1.75,27,18950,ORTH
Np,93,1.36,1.75,6,20200,ORTH
Pu,94,1.28,1.75,6,19840,MON
Am,95,1.3,1.75,10,13670,HCP
Cm,96,1.3,1.76,8.8,13500,HCP
